

Paintings 	Statues 	Miscellaneous 	Shopping cart	 	

Thangka Paintings     Show thumbnails

Peaceful deities

Height	Price	 
Sakya Pandita	30"  	 sold 	
Samantabhadra refuge tree	30"  	 $470 	
Samantabhadra, brocade	26"  	 sold 	
Samantabhadra, brocade	28"  	 $280 	
Samantabhadra	24.5"  	 $240 	
Samantabhadra	21"  	 sold 	
Sarasvati, brocade	23"  	 $200 	
Tara	33.5"  	 $220 	
Tara	21.5"  	 $230 	
Three dakinis	28.5"  	 $400 	
Tilopa, brocade	21.5"  	 $210 	
Tsongkhapa, brocade	29"  	 $450 	
Unknown	41"  	 $950 	
Usnisasitatapatra, brocade	27.5"  	 $370 	
Usnisasitatapatra	35"  	 $260 	
Vajradhara and the Kagyu gurus	12"  	 $120 	
Vajradhara, brocade	22"  	 $140 	
Vajradhara, brocade	22"  	 $140 	
Vajrasattva with consort,brocade	25.5"  	 $280 	
Vajrasattva yab yum	24"  	 $900 	
Vajrasattva, brocade	30"  	 $340 	
Vajrasattva, brocade	27"  	 $390 	
Vajrasattva, brocade	22"  	 sold 	
Vajrasattva	33.5"  	 $520 	
Vajrasattva	24.5"  	 $350 	
Vajrasattva	27.5"  	 $260 	
Vasudhara	19"  	 $250 	
Wheel of Life	17.5"  	 $200 	
Wheel of Life	30"  	 sold 	
Wheel of Life	38.5"  	 $1200 	
White Manjushri, brocade	29"  	 sold 	
White Tara, all gold	19.5"  	 $580 	
White Tara, brocade	22"  	 $170 	
White Tara, gold and silver	21"  	 $150 	
White Tara	26"  	 $140 	
White Tara	20.5"  	 $130 	
White Tara	24.5"  	 $280 	
White Tara	23.5"  	 $250 	
White Tara	22.5"  	 $170 	
White Tara	20"  	 $160 	
Yeshe Tsogyal	19.5"  	 sold 	
 	
 

Wrathful deities

Height	Price	 
108 Palden Lhamos, crystal carv.	22"  	 $850 	
4 Guardian Kings, 4-set, brocade	24.5"  	 $1100 	
6-armed Vajrapani , brocade	27"  	 $480 	
Bhairab, brocade	22"  	 $300 	
Blue Jambhala, brocade	20"  	 $250 	
Chakrasamvara and dakinis	29.5"  	 $500 	
Chakrasamvara, brocade	23"  	 sold 	
Chakrasamvara, brocade	27.5"  	 $420 	
Chakrasamvara	31"  	 $370 	
Chakrasamvara	30"  	 $250 	
Citipati	28"  	 $350 	
Dorje Drolod	24"  	 $900 	
Dorje Lekpa, brocade	20.5"  	 $150 	
Dorje Lekpa, brocade	21.5"  	 $250 	
Dorje Lekpa	21.5"  	 $250 	
Ekajati, brocade	19.5"  	 $300 	
Ekajati	26.5"  	 $400 	
Guhyasamaja, brocade	30.5"  	 $320 	
Guhyasamaja, brocade	24"  	 $420 	
Hayagriva	26.5"  	 $870 	
Hell	30.5"  	 $350 	
Hevajra, brocade	24.5"  	 $350 	
Hevajra, brocade	19"  	 $350 	
Hevajra	26"  	 $300 	
Hevajra	35.5"  	 $550 	
Jambhala, brocade	18.5"  	 $170 	
Jambhala, brocade	24.5"  	 $300 	
Jambhala, brocade	20.5"  	 $150 	
Jambhala, brocade	28.5"  	 $380 	
Jambhala, brocade	20"  	 $250 	
Jambhala, brocade	20"  	 $160 	
Jambhala, brocade	21.5"  	 $140 	
Jambhala, white	21"  	 $180 	
Kalachakra Calendar	25"  	 $180 	
Kalachakra, brocade	25"  	 $480 	
Kalachakra	30"  	 $380 	
Kalachakra	39.5"  	 $1100 	
Kalachakra	25"  	 $180 	
Kalachakra	21"  	 $120 	
Kalachakra	25"  	 $280 	
Kurukulla, brocade	24.5"  	 $280 	
Lion head dakini	23.5"  	 $450 	
Lion headed dakini	25.5"  	 $210 	
Mahakala yab yum	19.5"  	 $200 	
Mahakala, brocade	28.5"  	 $400 	
Mahakala, brocade	21"  	 $180 	
Mahakala, brocade	31"  	 $350 	
Mahakala, brocade	23.5"  	 $270 	
Mahakala, brocade	32"  	 $250 	
Mahakala, brocade	34.5"  	 $300 	
Mahakala, gold on black	24.5"  	 $650 	
Mahakala, gold on black	30.5"  	 $600 	
Mahakala, gold on black	25"  	 $500 	
Mahakala, grey hue	17"  	 $140 	
Mahakala	20.5"  	 $180 	
Mahakala	25"  	 $160 	
Mahakala	24.5"  	 $85 	
Nairatmya, brocade	28.5"  	 $450 	
Nyingma protector	36"  	 $700 	
Padmasambhava	39"  	 $750 	
Palden Lhamo, brocade	21.5"  	 $240 	
Palden Lhamo, brocade	28.5"  	 $420 	
Palden Lhamo	38"  	 $750 	
Palden Lhamo	25"  	 $220 	
Palden Lhamo	29.5"  	 $420 	
Rahula	23.5"  	 sold 	
Rahula	29.5"  	 $850 	
Secret Yamantaka	49"  	 $1200 	
Senge Dradog	20.5"  	 $280 	
Shri Mahakala	24.5"  	 $250 	
Shri Mahakala	24.5"  	 $250 	
Simhamukha	27"  	 $279 	
Singtong, brocade	29.5"  	 $340 	
Unknown	25.5"  	 $220 	
Usnisasitatapatra, brocade	26.5"  	 $360 	
Usnisasitatapatra, brocade	23.5"  	 $180 	
Usnisasitatapatra	26"  	 $280 	
Usnisasitatapatra	29"  	 $960 	
Vaisravana	20"  	 $120 	
Vajra Yogini palace	31.5"  	 $490 	
Vajra Yogini, brocade	26"  	 $380 	
Vajra Yogini	30"  	 sold 	
Vajra Yogini	31.5"  	 $380 	
Vajrabhairava	29"  	 $340 	
Vajrabhairava	22"  	 $200 	
Vajrakilaya	28"  	 $500 	
Vajrakilaya	24.5"  	 $380 	
Vajrapani, brocade	21.5"  	 $180 	
Vajrapani	33"  	 sold 	
Virupaksha	26"  	 $210 	
White Mahakala, brocade	19.5"  	 $170 	
White Mahakala, brocade	32"  	 $400 	
White Mahakala	17"  	 $160 	
Wrathful Guru, brocade	30.5"  	 $500 	
Wrathful Padmasambhava	35.5"  	 $850 	
Yama yab yum	20"  	 $300 	
Yamantaka, brocade	27.5"  	 $370 	
Yamantaka	40.5"  	 $950 	
Yama	26.5"  	 $170 	
Yeshe Tsogyal	37"  	 sold 	
 	
 

Mandalas

Height	Price	 
1000-armed Avalokiteshvara mand.	28"  	 $560 	
1000-armed Avalokiteshvara mand.	57.5"  	 $2500 	
5 Buddhas mandala	19"  	 $750 	
Acala mandala	31.5"  	 $350 	
Amitayus mandala	27.5"  	 $800 	
Avalokiteshvara mandala	13.5"  	 $200 	
Avalokiteshvara mandala	24"  	 $450 	
Buddha mandala	26.5"  	 $1200 	
Buddha mandala	28"  	 $420 	
Buddha mandala	27.5"  	 $360 	
Buddha's life mandala	28"  	 $450 	
Buddha's life mandala	35.5"  	 sold 	
Chakrasamvara mandala	27"  	 $800 	
Chakrasamvara mandala	40"  	 $1800 	
Guhyasamaja mandala	41"  	 $1500 	
Mahakala mandala	37.5"  	 $660 	
Mahakala mandala	26.5"  	 $380 	
Mandala, brocade	23.5"  	 $400 	
Mandala	20"  	 $300 	
Mandala	30"  	 $550 	
Mandala	26.5"  	 $280 	
Meru mandala	28"  	 $320 	
Padmasambhava mandala, brocade	15.5"  	 $350 	
Padmasambhava, 8 emanations	35"  	 $950 	
Prajnaparamita mandala	28"  	 $900 	
Vajra Tara mandala	26"  	 $750 	
Vajrasattva mandala, brocade	30"  	 sold 	
Vajrayogini mandala	31"  	 $280 	
Yamantaka mandala, brocade	31.5"  	 $450 	
Yamantaka mandala	24.5"  	 $360 	
 	
 

Ngor Mandala

Height	Price	 
135-deity Sarvabuddhasamayoga	23.5"  	 $380 	
3-and 9-deity Paramadya	27.5"  	 $580 	
Maheshvari mandala	20.5"  	 $210 	
 	
 

Newari

Height	Price	 
Birth of the Buddha	16"  	 $180 	
Ganesha	13"  	 $200 	
Green Tara	16.5"  	 $200 	
Hevajra	20.5"  	 $450 	
Mahakala, brocade	25"  	 $500 	
Manjushri	17"  	 $180 	
Manjushri	20"  	 $240 	
Unknown dancing figure	17"  	 $200 	
Unknown	22.5"  	 $190 	
Vajra Yogini, new Newari	22"  	 $380 	
Wealth Goddess	17"  	 $140 	
 	
 

Japanese

Height	Price	 
Amitabha mandala	19.5"  	 $350 	
Amitabha, brocade	28.5"  	 $360 	
Buddha	21.5"  	 $240 	
Fudo	24.5"  	 $950 	
Japanese wrathful deity	35"  	 $400 	
Japanese wrathful deity	34.5"  	 $400 	
Japanese wrathful deity	35"  	 $500 	
Japanese wrathful figure	29.5"  	 $350 	
Mahasthamaprapta, gold on black	35.5"  	 $500 	
Unknown, brocade	31.5"  	 $700 	
Unknown, gold on black	35"  	 $400 	
Unknown	22"  	 $240 	
 	
 

If you wish to buy a thangka, please click a link on this page. Then click "Add to shopping cart" on the next and follow the instructions.

Q&A
 



On this page
 Peaceful deities
Wrathful deities
Mandalas
Ngor Mandala
Newari
Japanese

info@tibetshop.com

Brocade thangkas are marked with the word "brocade". Other thangkas require hard frames.

All thangkas are hand painted on canvas. We don't carry print art or posters.

All paintings are unique and the item you get will be exactly the same as you saw in the picture.

Tibet Shop mailing list
Your email
 

Members of the list receive notices of new products at Tibet Shop.

Tibet Shop will not give or sell your address for other purposes.

Mailing list
 Customer feedback
 About thangkas
 Framing
 About us
 Affiliate program 
Links 

  

  

Avalokiteshvara on red 

  

  

  

  

  

  

  

White Tara 

  

  

  

  

  

  

Padmasambhava, brocade 

  

  

  

  

  

  

  

  

108 Medicine Buddhas 

  

  

  

  

  

  

  

Vajrasattva yab yum 

  

  

  

  

  

  

  

  

Manjushri 

  

  

  

  

  

  

Vajrakilaya, brocade 

  

  

  

  

  

  

  

Mahakala 

  

  

  

  

  

  

  

  

Dorje Drolod 

  

  

  

  

  

  

Vajra Yogini, new Newari 

  

  

  

  

  

  

  

Vajrayogini mandala 

  

  

  

  

  

  

  

Meru mandala 

  

  

  

  

  

  

Buddha mandala 	

 


